@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric

@data
184,'2022/03/31 18:29:37:528',2,40,42,26,1,2,2,2,0,1,?,?,?,?,?
185,'2022/03/31 18:29:37:680',2,39,106,26,1,2,2,2,0,1,?,?,?,?,?
186,'2022/03/31 18:29:37:835',2,39,184,26,2,2,2,2,0,1,?,?,?,?,?
187,'2022/03/31 18:29:37:990',2,40,251,28,1,2,2,2,0,1,?,?,?,?,?
188,'2022/03/31 18:29:38:142',2,40,264,39,2,2,2,2,0,1,?,?,?,?,?
189,'2022/03/31 18:29:38:295',2,40,206,41,2,2,2,2,0,1,?,?,?,?,?
190,'2022/03/31 18:29:38:450',2,40,143,44,2,2,1,2,0,1,?,?,?,?,?
191,'2022/03/31 18:29:38:605',2,40,120,35,2,2,2,2,0,1,?,?,?,?,?
192,'2022/03/31 18:29:38:759',2,39,124,28,2,2,2,2,0,1,?,?,?,?,?
193,'2022/03/31 18:29:38:911',2,39,149,26,1,2,2,2,0,1,?,?,?,?,?
194,'2022/03/31 18:29:39:067',2,39,141,26,1,2,2,2,0,1,?,?,?,?,?
195,'2022/03/31 18:29:39:219',2,39,124,26,1,2,2,2,0,1,?,?,?,?,?
196,'2022/03/31 18:29:39:375',2,40,107,26,1,2,2,2,0,1,?,?,?,?,?
197,'2022/03/31 18:29:39:529',2,39,98,26,1,2,2,2,0,1,?,?,?,?,?
198,'2022/03/31 18:29:39:683',2,39,90,26,1,2,2,2,0,1,?,?,?,?,?
199,'2022/03/31 18:29:39:837',2,39,80,26,1,1,2,2,0,1,?,?,?,?,?
200,'2022/03/31 18:29:39:991',2,39,66,26,1,1,2,2,0,1,?,?,?,?,?
201,'2022/03/31 18:29:40:145',2,39,48,26,2,1,2,2,0,1,?,?,?,?,?
202,'2022/03/31 18:29:40:297',2,40,38,26,2,1,2,2,0,1,?,?,?,?,?
203,'2022/03/31 18:29:40:449',2,39,29,26,2,2,2,2,0,1,?,?,?,?,?
204,'2022/03/31 18:29:40:604',2,39,28,26,2,2,2,1,0,1,?,?,?,?,?
205,'2022/03/31 18:29:40:755',2,40,27,26,1,2,2,2,0,1,?,?,?,?,?
206,'2022/03/31 18:29:40:907',2,39,27,26,1,1,2,2,0,1,?,?,?,?,?
207,'2022/03/31 18:29:41:059',2,40,28,26,2,2,2,2,0,1,?,?,?,?,?
208,'2022/03/31 18:29:41:216',2,39,30,26,2,2,2,2,0,1,?,?,?,?,?
209,'2022/03/31 18:29:41:370',2,39,32,26,2,2,2,2,0,1,?,?,?,?,?
210,'2022/03/31 18:29:41:522',2,40,32,26,2,2,2,2,0,1,?,?,?,?,?
211,'2022/03/31 18:29:41:676',2,40,30,26,2,2,2,2,0,1,?,?,?,?,?
212,'2022/03/31 18:29:41:829',2,40,32,26,2,2,2,2,0,1,?,?,?,?,?
213,'2022/03/31 18:29:41:982',2,40,43,25,1,2,2,2,0,1,?,?,?,?,?
214,'2022/03/31 18:29:42:137',2,40,49,25,1,2,2,2,0,1,?,?,?,?,?
215,'2022/03/31 18:29:42:290',2,40,51,25,1,1,2,2,0,1,?,?,?,?,?
216,'2022/03/31 18:29:42:446',2,40,41,26,1,2,2,2,0,1,?,?,?,?,?
217,'2022/03/31 18:29:42:599',2,40,30,26,1,2,2,2,0,1,?,?,?,?,?
218,'2022/03/31 18:29:42:754',2,39,27,26,1,2,2,2,0,1,?,?,?,?,?
219,'2022/03/31 18:29:42:906',2,39,28,26,2,2,2,2,0,1,?,?,?,?,?
220,'2022/03/31 18:29:43:062',2,39,29,26,2,2,2,2,0,1,?,?,?,?,?
221,'2022/03/31 18:29:43:216',2,39,29,26,2,2,2,2,0,1,?,?,?,?,?
222,'2022/03/31 18:29:43:371',2,39,28,26,2,2,2,2,0,1,?,?,?,?,?
223,'2022/03/31 18:29:43:527',2,39,27,26,2,2,2,2,0,1,?,?,?,?,?
224,'2022/03/31 18:29:43:680',2,39,28,26,2,1,2,2,0,1,?,?,?,?,?
225,'2022/03/31 18:29:43:834',2,39,28,26,2,1,2,2,0,1,?,?,?,?,?
226,'2022/03/31 18:29:43:990',2,40,27,25,2,1,2,2,0,1,?,?,?,?,?
227,'2022/03/31 18:29:44:145',2,39,27,26,2,1,1,2,0,1,?,?,?,?,?
228,'2022/03/31 18:29:44:301',2,40,27,26,2,2,1,2,0,1,?,?,?,?,?
229,'2022/03/31 18:29:44:453',2,39,27,26,2,2,2,2,0,1,?,?,?,?,?
230,'2022/03/31 18:29:44:610',2,39,27,26,2,2,2,2,0,1,?,?,?,?,?
231,'2022/03/31 18:29:44:763',2,39,27,26,2,2,2,2,0,1,?,?,?,?,?
232,'2022/03/31 18:29:44:922',2,40,26,26,2,2,2,2,0,1,?,?,?,?,?
233,'2022/03/31 18:29:45:074',2,40,26,26,2,2,2,2,0,1,?,?,?,?,?
234,'2022/03/31 18:29:45:229',2,40,27,26,2,2,2,2,0,1,?,?,?,?,?
235,'2022/03/31 18:29:45:387',2,40,31,26,1,2,2,2,0,1,?,?,?,?,?
236,'2022/03/31 18:29:45:541',2,40,33,26,1,2,2,2,0,1,?,?,?,?,?
237,'2022/03/31 18:29:45:696',2,39,34,26,2,2,2,1,0,1,?,?,?,?,?
238,'2022/03/31 18:29:45:850',2,39,32,26,2,2,2,2,0,1,?,?,?,?,?
239,'2022/03/31 18:29:46:005',2,39,28,26,2,2,2,2,0,1,?,?,?,?,?
240,'2022/03/31 18:29:46:158',2,40,28,26,2,2,2,2,0,1,?,?,?,?,?
241,'2022/03/31 18:29:46:314',2,39,27,26,2,2,2,2,0,1,?,?,?,?,?
242,'2022/03/31 18:29:46:470',2,39,27,26,2,2,1,2,0,1,?,?,?,?,?
243,'2022/03/31 18:29:46:624',2,40,27,26,1,2,1,2,0,1,?,?,?,?,?
