@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
6901,'2022/12/16 13:49:42:078',33,168,102,124,0,0,0,9.745994,?,?,?,?,?,?,?
6902,'2022/12/16 13:49:42:092',33,168,102,124,0,0,0,9.745994,?,?,?,?,?,?,?
6903,'2022/12/16 13:49:42:094',33,168,102,124,0,0,0,9.745994,?,?,?,?,?,?,?
6904,'2022/12/16 13:49:42:096',33,168,102,124,0,0,0,9.745994,?,?,?,?,?,?,?
6905,'2022/12/16 13:49:42:106',33,167,103,124,0,0,0,8.152521,?,?,?,?,?,?,?
6906,'2022/12/16 13:49:42:112',33,167,103,124,0,0,0,8.152521,?,?,?,?,?,?,?
6907,'2022/12/16 13:49:42:119',33,167,103,124,0,0,0,8.152521,?,?,?,?,?,?,?
6908,'2022/12/16 13:49:42:125',33,167,103,124,0,0,0,8.152521,?,?,?,?,?,?,?
6909,'2022/12/16 13:49:42:131',33,165,104,124,0,0,0,6.548007,?,?,?,?,?,?,?
6910,'2022/12/16 13:49:42:139',33,165,104,124,0,0,0,6.548007,?,?,?,?,?,?,?
6911,'2022/12/16 13:49:42:143',33,165,104,124,0,0,0,6.548007,?,?,?,?,?,?,?
6912,'2022/12/16 13:49:42:154',33,165,104,124,0,0,0,6.548007,?,?,?,?,?,?,?
6913,'2022/12/16 13:49:42:162',33,163,105,125,0,0,0,5.177364,?,?,?,?,?,?,?
6914,'2022/12/16 13:49:42:167',33,163,105,125,0,0,0,5.177364,?,?,?,?,?,?,?
6915,'2022/12/16 13:49:42:175',33,163,105,125,0,0,0,5.177364,?,?,?,?,?,?,?
6916,'2022/12/16 13:49:42:182',33,160,105,124,0,0,0,4.192327,?,?,?,?,?,?,?
6917,'2022/12/16 13:49:42:188',33,160,105,124,0,0,0,4.192327,?,?,?,?,?,?,?
6918,'2022/12/16 13:49:42:195',33,160,105,124,0,0,0,4.192327,?,?,?,?,?,?,?
6919,'2022/12/16 13:49:42:201',33,160,105,124,0,0,0,4.192327,?,?,?,?,?,?,?
6920,'2022/12/16 13:49:42:207',33,158,107,122,0,0,0,3.87519,?,?,?,?,?,?,?
6921,'2022/12/16 13:49:42:212',33,158,107,122,0,0,0,3.87519,?,?,?,?,?,?,?
6922,'2022/12/16 13:49:42:223',33,158,107,122,0,0,0,3.87519,?,?,?,?,?,?,?
6923,'2022/12/16 13:49:42:229',33,158,107,122,0,0,0,3.87519,?,?,?,?,?,?,?
6924,'2022/12/16 13:49:42:237',33,154,108,123,0,0,0,4.545536,?,?,?,?,?,?,?
6925,'2022/12/16 13:49:42:243',33,154,108,123,0,0,0,4.545536,?,?,?,?,?,?,?
6926,'2022/12/16 13:49:42:249',33,154,108,123,0,0,0,4.545536,?,?,?,?,?,?,?
6927,'2022/12/16 13:49:42:256',33,154,108,123,0,0,0,4.545536,?,?,?,?,?,?,?
6928,'2022/12/16 13:49:42:263',33,151,109,124,0,0,0,5.660177,?,?,?,?,?,?,?
6929,'2022/12/16 13:49:42:270',33,151,109,124,0,0,0,5.660177,?,?,?,?,?,?,?
6930,'2022/12/16 13:49:42:282',33,151,109,124,0,0,0,5.660177,?,?,?,?,?,?,?
6931,'2022/12/16 13:49:42:291',33,149,110,125,0,0,0,6.785359,?,?,?,?,?,?,?
6932,'2022/12/16 13:49:42:295',33,149,110,125,0,0,0,6.785359,?,?,?,?,?,?,?
6933,'2022/12/16 13:49:42:303',33,149,110,125,0,0,0,6.785359,?,?,?,?,?,?,?
6934,'2022/12/16 13:49:42:308',33,149,110,125,0,0,0,6.785359,?,?,?,?,?,?,?
6935,'2022/12/16 13:49:42:316',33,148,110,127,0,0,0,7.682936,?,?,?,?,?,?,?
6936,'2022/12/16 13:49:42:322',33,148,110,127,0,0,0,7.682936,?,?,?,?,?,?,?
6937,'2022/12/16 13:49:42:327',33,148,110,127,0,0,0,7.682936,?,?,?,?,?,?,?
6938,'2022/12/16 13:49:42:340',33,148,110,127,0,0,0,7.682936,?,?,?,?,?,?,?
6939,'2022/12/16 13:49:42:350',33,148,111,128,0,0,0,8.247448,?,?,?,?,?,?,?
6940,'2022/12/16 13:49:42:352',33,148,111,128,0,0,0,8.247448,?,?,?,?,?,?,?
6941,'2022/12/16 13:49:42:363',33,148,111,128,0,0,0,8.247448,?,?,?,?,?,?,?
6942,'2022/12/16 13:49:42:374',33,147,110,129,0,0,0,8.543442,?,?,?,?,?,?,?
6943,'2022/12/16 13:49:42:380',33,147,110,129,0,0,0,8.543442,?,?,?,?,?,?,?
6944,'2022/12/16 13:49:42:385',33,147,110,129,0,0,0,8.543442,?,?,?,?,?,?,?
6945,'2022/12/16 13:49:42:392',33,146,109,129,0,0,0,8.53344,?,?,?,?,?,?,?
6946,'2022/12/16 13:49:42:399',33,146,109,129,0,0,0,8.53344,?,?,?,?,?,?,?
6947,'2022/12/16 13:49:42:405',33,146,109,129,0,0,0,8.53344,?,?,?,?,?,?,?
6948,'2022/12/16 13:49:42:410',33,146,109,129,0,0,0,8.53344,?,?,?,?,?,?,?
6949,'2022/12/16 13:49:42:419',33,146,109,129,0,0,0,8.53344,?,?,?,?,?,?,?
6950,'2022/12/16 13:49:42:425',33,145,109,131,0,0,0,8.242396,?,?,?,?,?,?,?
6951,'2022/12/16 13:49:42:431',33,145,109,131,0,0,0,8.242396,?,?,?,?,?,?,?
6952,'2022/12/16 13:49:42:437',33,145,109,131,0,0,0,8.242396,?,?,?,?,?,?,?
6953,'2022/12/16 13:49:42:443',33,143,108,129,0,0,0,7.917474,?,?,?,?,?,?,?
6954,'2022/12/16 13:49:42:450',33,143,108,129,0,0,0,7.917474,?,?,?,?,?,?,?
6955,'2022/12/16 13:49:42:455',33,143,108,129,0,0,0,7.917474,?,?,?,?,?,?,?
6956,'2022/12/16 13:49:42:461',33,143,108,129,0,0,0,7.917474,?,?,?,?,?,?,?
6957,'2022/12/16 13:49:42:468',33,142,108,129,0,0,0,7.435126,?,?,?,?,?,?,?
6958,'2022/12/16 13:49:42:475',33,142,108,129,0,0,0,7.435126,?,?,?,?,?,?,?
6959,'2022/12/16 13:49:42:481',33,142,108,129,0,0,0,7.435126,?,?,?,?,?,?,?
6960,'2022/12/16 13:49:42:488',33,142,108,129,0,0,0,7.435126,?,?,?,?,?,?,?
6961,'2022/12/16 13:49:42:496',33,141,107,132,0,0,0,6.834289,?,?,?,?,?,?,?
6962,'2022/12/16 13:49:42:503',33,141,107,132,0,0,0,6.834289,?,?,?,?,?,?,?
