@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric

@data
234,'2022/05/12 00:06:53:458',3,222,0,1,124,0,1,173,0,0.26,0,0,0.29,0,0.17
235,'2022/05/12 00:06:53:560',3,232,7,7,132,7,7,182,0,0.26,0,0,0.29,0,0.17
236,'2022/05/12 00:06:53:664',3,226,0,5,138,0,5,182,0,0.26,0,0,0.29,0,0.17
237,'2022/05/12 00:06:53:766',3,228,0,5,133,0,5,180.5,0,0.26,0,0,0.29,0,0.17
238,'2022/05/12 00:06:53:869',3,229,1,1,133,1,1,181,0,0.26,0,0,0.29,0,0.17
239,'2022/05/12 00:06:53:983',3,228,2,2,134,2,2,181,0,0.26,0,0,0.29,0,0.17
240,'2022/05/12 00:06:54:085',3,226,0,2,135,0,2,180.5,0,0.26,0,0,0.29,0,0.17
241,'2022/05/12 00:06:54:189',3,229,3,3,123,3,3,176,0,0.26,0,0,0.29,0,0.17
242,'2022/05/12 00:06:54:295',3,230,0,5,121,0,5,175.5,0,0.26,0,0,0.29,0,0.17
243,'2022/05/12 00:06:54:400',3,230,0,0,117,0,0,173.5,0,0.26,0,0,0.29,0,0.17
244,'2022/05/12 00:06:54:516',3,227,0,4,117,0,4,172,0,0.26,0,0,0.29,0,0.17
245,'2022/05/12 00:06:54:623',3,220,0,1,115,0,1,167.5,0,0.26,0,0,0.29,0,0.17
246,'2022/05/12 00:06:54:729',3,225,6,6,118,6,6,171.5,0,0.26,0,0,0.29,0,0.17
247,'2022/05/12 00:06:54:836',3,233,4,4,117,4,4,175,0,0.26,0,0,0.29,0,0.17
248,'2022/05/12 00:06:54:954',3,239,7,7,114,7,7,176.5,0,0.26,0,0,0.29,0,0.17
249,'2022/05/12 00:06:55:057',3,231,3,3,111,3,3,171,0,0.26,0,0,0.29,0,0.17
250,'2022/05/12 00:06:55:166',3,236,0,1,109,0,1,172.5,0,0.26,0,0,0.29,0,0.17
251,'2022/05/12 00:06:55:289',3,229,0,7,101,0,7,165,0,0.26,0,0,0.29,0,0.17
252,'2022/05/12 00:06:55:390',3,212,0,8,109,0,8,160.5,0,0.26,0,0,0.29,0,0.17
253,'2022/05/12 00:06:55:501',3,213,9,9,118,9,9,165.5,0,0.26,0,0,0.29,0,0.17
254,'2022/05/12 00:06:55:608',3,213,0,0,128,0,0,170.5,0,0.26,0,0,0.29,0,0.17
255,'2022/05/12 00:06:55:715',3,220,5,5,135,5,5,177.5,0,0.26,0,0,0.29,0,0.17
256,'2022/05/12 00:06:55:816',3,218,0,2,145,0,2,181.5,0,0.26,0,0,0.29,0,0.17
257,'2022/05/12 00:06:55:923',3,227,0,1,139,0,1,183,0,0.26,0,0,0.29,0,0.17
258,'2022/05/12 00:06:56:028',3,241,2,2,130,2,2,185.5,0,0.26,0,0,0.29,0,0.17
259,'2022/05/12 00:06:56:129',3,256,4,4,120,4,4,188,0,0.26,0,0,0.29,0,0.17
260,'2022/05/12 00:06:56:233',3,262,2,2,119,2,2,190.5,0,0.26,0,0,0.29,0,0.17
