@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric

@data
1,'2019/12/17 16:59:47:457',1,111,30,51,940,105,2,2,0,?,?,?,?,?,?
2,'2019/12/17 16:59:47:559',1,114,30,50,940,106,2,2,0,?,?,?,?,?,?
3,'2019/12/17 16:59:47:660',1,115,30,50,939,106,2,2,0,?,?,?,?,?,?
4,'2019/12/17 16:59:47:761',1,116,30,49,939,106,2,2,0,?,?,?,?,?,?
5,'2019/12/17 16:59:47:862',1,114,30,49,939,105,2,2,0,?,?,?,?,?,?
6,'2019/12/17 16:59:47:964',1,105,30,49,938,105,2,2,0,?,?,?,?,?,?
7,'2019/12/17 16:59:48:065',1,99,30,49,938,105,2,2,0,?,?,?,?,?,?
8,'2019/12/17 16:59:48:166',1,94,30,50,937,105,2,2,0,?,?,?,?,?,?
9,'2019/12/17 16:59:48:267',1,93,30,49,937,102,2,2,0,?,?,?,?,?,?
10,'2019/12/17 16:59:48:368',1,94,30,48,937,99,2,2,0,?,?,?,?,?,?
11,'2019/12/17 16:59:48:470',1,95,30,48,936,97,2,2,0,?,?,?,?,?,?
12,'2019/12/17 16:59:48:571',1,100,30,48,937,93,2,2,0,?,?,?,?,?,?
13,'2019/12/17 16:59:48:673',1,103,30,48,937,91,2,2,0,?,?,?,?,?,?
14,'2019/12/17 16:59:48:774',1,111,30,48,938,89,2,2,0,?,?,?,?,?,?
15,'2019/12/17 16:59:48:876',1,117,30,48,938,88,2,2,0,?,?,?,?,?,?
16,'2019/12/17 16:59:48:977',1,122,30,50,939,87,2,2,0,?,?,?,?,?,?
17,'2019/12/17 16:59:49:079',1,122,30,51,939,87,2,2,0,?,?,?,?,?,?
18,'2019/12/17 16:59:49:181',1,117,30,50,939,88,2,2,0,?,?,?,?,?,?
19,'2019/12/17 16:59:49:281',1,107,30,50,939,88,2,2,0,?,?,?,?,?,?
20,'2019/12/17 16:59:49:382',1,100,30,49,939,88,2,2,0,?,?,?,?,?,?
21,'2019/12/17 16:59:49:483',1,94,30,48,939,88,1,2,0,?,?,?,?,?,?
22,'2019/12/17 16:59:49:585',1,92,30,48,939,89,1,2,0,?,?,?,?,?,?
23,'2019/12/17 16:59:49:686',1,89,30,48,940,89,2,2,0,?,?,?,?,?,?
24,'2019/12/17 16:59:49:788',1,88,30,50,940,89,1,2,0,?,?,?,?,?,?
25,'2019/12/17 16:59:49:889',1,87,32,50,940,89,2,2,0,?,?,?,?,?,?
26,'2019/12/17 16:59:49:991',1,86,32,50,940,89,1,2,0,?,?,?,?,?,?
27,'2019/12/17 16:59:50:093',1,87,32,50,940,90,2,2,0,?,?,?,?,?,?
28,'2019/12/17 16:59:50:195',1,85,32,49,940,90,1,2,0,?,?,?,?,?,?
29,'2019/12/17 16:59:50:295',1,85,32,48,940,90,2,2,0,?,?,?,?,?,?
30,'2019/12/17 16:59:50:397',1,84,31,48,940,89,2,2,0,?,?,?,?,?,?
31,'2019/12/17 16:59:50:499',1,84,31,48,940,89,2,2,0,?,?,?,?,?,?
32,'2019/12/17 16:59:50:600',1,82,30,48,940,89,2,2,0,?,?,?,?,?,?
33,'2019/12/17 16:59:50:701',1,82,30,48,940,89,2,2,0,?,?,?,?,?,?
34,'2019/12/17 16:59:50:802',1,81,30,49,940,88,2,2,0,?,?,?,?,?,?
35,'2019/12/17 16:59:50:903',1,81,30,49,940,88,2,2,0,?,?,?,?,?,?
36,'2019/12/17 16:59:51:004',1,82,30,50,940,87,2,2,0,?,?,?,?,?,?
37,'2019/12/17 16:59:51:106',1,81,30,50,940,87,2,2,0,?,?,?,?,?,?
38,'2019/12/17 16:59:51:208',1,82,30,51,940,87,2,2,0,?,?,?,?,?,?
39,'2019/12/17 16:59:51:310',1,82,30,51,940,86,2,2,0,?,?,?,?,?,?
40,'2019/12/17 16:59:51:411',1,83,30,51,939,84,2,2,0,?,?,?,?,?,?
41,'2019/12/17 16:59:51:513',1,84,30,51,938,83,2,2,0,?,?,?,?,?,?
42,'2019/12/17 16:59:51:615',1,85,30,50,937,81,2,2,0,?,?,?,?,?,?
43,'2019/12/17 16:59:51:717',1,84,30,50,936,79,2,2,0,?,?,?,?,?,?
44,'2019/12/17 16:59:51:817',1,84,30,49,935,78,2,2,0,?,?,?,?,?,?
45,'2019/12/17 16:59:51:919',1,84,30,49,936,77,2,2,0,?,?,?,?,?,?
46,'2019/12/17 16:59:52:021',1,83,30,48,936,77,2,2,0,?,?,?,?,?,?
47,'2019/12/17 16:59:52:123',1,82,30,49,936,77,2,2,0,?,?,?,?,?,?
48,'2019/12/17 16:59:52:224',1,82,30,49,936,78,2,2,0,?,?,?,?,?,?
49,'2019/12/17 16:59:52:325',1,82,30,49,937,78,2,2,0,?,?,?,?,?,?
50,'2019/12/17 16:59:52:427',1,81,30,49,937,80,2,2,0,?,?,?,?,?,?
51,'2019/12/17 16:59:52:528',1,81,30,49,937,81,1,2,0,?,?,?,?,?,?
52,'2019/12/17 16:59:52:630',1,80,30,48,937,82,2,2,0,?,?,?,?,?,?
53,'2019/12/17 16:59:52:730',1,83,30,48,937,83,2,2,0,?,?,?,?,?,?
54,'2019/12/17 16:59:52:832',1,87,30,48,937,82,2,2,0,?,?,?,?,?,?
55,'2019/12/17 16:59:52:934',1,88,30,49,938,79,2,2,0,?,?,?,?,?,?
56,'2019/12/17 16:59:53:036',1,88,30,49,938,79,2,2,0,?,?,?,?,?,?
57,'2019/12/17 16:59:53:136',1,88,30,49,939,77,2,2,0,?,?,?,?,?,?
58,'2019/12/17 16:59:53:237',1,86,30,49,939,74,2,2,0,?,?,?,?,?,?
59,'2019/12/17 16:59:53:339',1,83,30,49,939,72,2,2,0,?,?,?,?,?,?
60,'2019/12/17 16:59:53:440',1,80,30,49,939,72,2,2,0,?,?,?,?,?,?
61,'2019/12/17 16:59:53:542',1,81,30,49,939,70,2,2,0,?,?,?,?,?,?
62,'2019/12/17 16:59:53:644',1,81,30,49,937,69,2,2,0,?,?,?,?,?,?
63,'2019/12/17 16:59:53:746',1,80,30,49,935,68,2,2,0,?,?,?,?,?,?
64,'2019/12/17 16:59:53:846',1,80,30,48,934,68,2,2,0,?,?,?,?,?,?
65,'2019/12/17 16:59:53:948',1,82,30,49,933,68,2,2,0,?,?,?,?,?,?
66,'2019/12/17 16:59:54:050',1,85,30,49,932,70,2,2,0,?,?,?,?,?,?
67,'2019/12/17 16:59:54:152',1,89,30,50,931,72,2,2,0,?,?,?,?,?,?
68,'2019/12/17 16:59:54:253',1,95,30,51,931,112,2,2,0,?,?,?,?,?,?
69,'2019/12/17 16:59:54:355',1,105,30,50,931,168,2,2,0,?,?,?,?,?,?
70,'2019/12/17 16:59:54:456',1,112,30,50,931,287,2,2,0,?,?,?,?,?,?
71,'2019/12/17 16:59:54:558',1,116,30,49,931,386,2,2,0,?,?,?,?,?,?
72,'2019/12/17 16:59:54:659',1,120,30,49,932,494,2,2,0,?,?,?,?,?,?
73,'2019/12/17 16:59:54:761',1,122,30,48,932,585,2,2,0,?,?,?,?,?,?
74,'2019/12/17 16:59:54:863',1,118,30,48,933,661,2,2,0,?,?,?,?,?,?
75,'2019/12/17 16:59:54:963',1,110,30,48,933,690,2,2,0,?,?,?,?,?,?
76,'2019/12/17 16:59:55:065',1,102,30,49,933,717,2,2,0,?,?,?,?,?,?
77,'2019/12/17 16:59:55:165',1,93,30,49,933,751,2,2,0,?,?,?,?,?,?
78,'2019/12/17 16:59:55:267',1,91,30,49,933,769,2,2,0,?,?,?,?,?,?
79,'2019/12/17 16:59:55:369',1,91,30,49,932,790,2,2,0,?,?,?,?,?,?
