@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric
@attribute processing-8 numeric
@attribute processing-9 numeric
@attribute processing-10 numeric

@data
1,'2021/10/25 16:53:10:264',1,252,132,111,869,1053,2,2,?,?,?,0,?,?,?,?,?,?
2,'2021/10/25 16:53:10:418',1,114,129,117,867,1054,2,2,?,?,?,0,?,?,?,?,?,?
3,'2021/10/25 16:53:10:574',1,89,119,134,871,1054,2,2,?,?,?,0,?,?,?,?,?,?
4,'2021/10/25 16:53:10:729',1,89,98,152,879,1053,2,2,?,?,?,0,?,?,?,?,?,?
5,'2021/10/25 16:53:10:886',1,55,72,142,884,1051,2,2,?,?,?,0,?,?,?,?,?,?
6,'2021/10/25 16:53:11:044',1,49,50,133,887,1046,2,2,?,?,?,0,?,?,?,?,?,?
7,'2021/10/25 16:53:11:199',1,48,39,117,888,1035,2,2,?,?,?,0,?,?,?,?,?,?
8,'2021/10/25 16:53:11:356',1,47,37,112,888,1026,2,2,?,?,?,0,?,?,?,?,?,?
9,'2021/10/25 16:53:11:511',1,50,37,110,890,1019,2,2,?,?,?,0,?,?,?,?,?,?
10,'2021/10/25 16:53:11:665',1,55,37,108,893,1016,2,1,?,?,?,0,?,?,?,?,?,?
11,'2021/10/25 16:53:11:820',1,55,37,95,896,1019,2,2,?,?,?,0,?,?,?,?,?,?
12,'2021/10/25 16:53:11:974',1,58,37,79,898,1020,2,1,?,?,?,0,?,?,?,?,?,?
13,'2021/10/25 16:53:12:131',1,58,38,62,900,1022,2,2,?,?,?,0,?,?,?,?,?,?
14,'2021/10/25 16:53:12:287',1,54,37,53,900,1024,2,2,?,?,?,0,?,?,?,?,?,?
15,'2021/10/25 16:53:12:443',1,60,39,49,901,1026,2,2,?,?,?,0,?,?,?,?,?,?
16,'2021/10/25 16:53:12:599',1,67,53,44,901,1026,2,2,?,?,?,0,?,?,?,?,?,?
17,'2021/10/25 16:53:12:755',1,74,67,42,901,1021,2,2,?,?,?,0,?,?,?,?,?,?
18,'2021/10/25 16:53:12:911',1,82,81,41,903,1002,2,2,?,?,?,0,?,?,?,?,?,?
19,'2021/10/25 16:53:13:066',1,70,144,40,904,955,2,1,?,?,?,0,?,?,?,?,?,?
20,'2021/10/25 16:53:13:223',1,62,196,41,906,792,2,1,?,?,?,0,?,?,?,?,?,?
21,'2021/10/25 16:53:13:378',1,50,212,42,907,523,2,2,?,?,?,0,?,?,?,?,?,?
22,'2021/10/25 16:53:13:534',1,45,261,43,908,263,2,2,?,?,?,0,?,?,?,?,?,?
23,'2021/10/25 16:53:13:688',1,45,167,43,910,26,2,2,?,?,?,0,?,?,?,?,?,?
24,'2021/10/25 16:53:13:843',1,48,145,44,911,36,2,2,?,?,?,0,?,?,?,?,?,?
25,'2021/10/25 16:53:13:998',1,53,132,43,913,176,2,2,?,?,?,0,?,?,?,?,?,?
