@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
1,'2020/02/21 11:00:04:412',1,217,838,34,2,3,2,1,?,?,?,?,?,?,?,?,?,?
2,'2020/02/21 11:00:04:539',1,235,750,32,2,3,2,1,?,?,?,?,?,?,?,?,?,?
3,'2020/02/21 11:00:04:665',1,304,578,32,2,3,2,1,?,?,?,?,?,?,?,?,?,?
4,'2020/02/21 11:00:04:792',1,338,382,41,2,2,1,2,?,?,?,?,?,?,?,?,?,?
5,'2020/02/21 11:00:04:918',1,395,190,49,2,2,2,1,?,?,?,?,?,?,?,?,?,?
6,'2020/02/21 11:00:05:044',1,389,169,52,2,3,2,1,?,?,?,?,?,?,?,?,?,?
7,'2020/02/21 11:00:05:171',1,289,209,53,2,3,2,1,?,?,?,?,?,?,?,?,?,?
8,'2020/02/21 11:00:05:296',1,272,203,47,2,3,2,1,?,?,?,?,?,?,?,?,?,?
9,'2020/02/21 11:00:05:422',1,246,235,41,2,2,1,1,?,?,?,?,?,?,?,?,?,?
10,'2020/02/21 11:00:05:548',1,209,312,36,2,2,2,1,?,?,?,?,?,?,?,?,?,?
11,'2020/02/21 11:00:05:676',1,211,495,35,2,3,1,1,?,?,?,?,?,?,?,?,?,?
12,'2020/02/21 11:00:05:801',1,199,526,34,2,3,2,1,?,?,?,?,?,?,?,?,?,?
13,'2020/02/21 11:00:05:927',1,200,489,35,2,3,2,1,?,?,?,?,?,?,?,?,?,?
14,'2020/02/21 11:00:06:054',1,228,467,35,2,3,2,2,?,?,?,?,?,?,?,?,?,?
15,'2020/02/21 11:00:06:179',1,241,246,31,3,3,2,2,?,?,?,?,?,?,?,?,?,?
16,'2020/02/21 11:00:06:305',1,321,174,32,2,4,2,2,?,?,?,?,?,?,?,?,?,?
17,'2020/02/21 11:00:06:431',1,523,200,30,2,4,1,2,?,?,?,?,?,?,?,?,?,?
18,'2020/02/21 11:00:06:558',1,720,239,26,3,3,2,2,?,?,?,?,?,?,?,?,?,?
19,'2020/02/21 11:00:06:685',1,806,228,25,3,3,1,2,?,?,?,?,?,?,?,?,?,?
20,'2020/02/21 11:00:06:810',1,1033,180,28,3,3,1,2,?,?,?,?,?,?,?,?,?,?
21,'2020/02/21 11:00:06:936',1,1033,205,37,3,3,1,2,?,?,?,?,?,?,?,?,?,?
22,'2020/02/21 11:00:07:062',1,973,231,43,3,3,1,2,?,?,?,?,?,?,?,?,?,?
23,'2020/02/21 11:00:07:188',1,880,237,48,2,3,1,1,?,?,?,?,?,?,?,?,?,?
24,'2020/02/21 11:00:07:314',1,714,265,50,2,3,1,1,?,?,?,?,?,?,?,?,?,?
25,'2020/02/21 11:00:07:440',1,524,370,47,2,3,1,1,?,?,?,?,?,?,?,?,?,?
26,'2020/02/21 11:00:07:567',1,292,389,39,2,3,1,1,?,?,?,?,?,?,?,?,?,?
27,'2020/02/21 11:00:07:693',1,200,356,39,2,2,1,1,?,?,?,?,?,?,?,?,?,?
28,'2020/02/21 11:00:07:820',1,158,320,41,2,3,1,1,?,?,?,?,?,?,?,?,?,?
29,'2020/02/21 11:00:07:945',1,188,249,38,2,2,1,1,?,?,?,?,?,?,?,?,?,?
30,'2020/02/21 11:00:08:072',1,224,165,37,2,2,1,2,?,?,?,?,?,?,?,?,?,?
31,'2020/02/21 11:00:08:199',1,298,123,32,2,3,2,2,?,?,?,?,?,?,?,?,?,?
32,'2020/02/21 11:00:08:325',1,296,124,26,2,3,2,2,?,?,?,?,?,?,?,?,?,?
33,'2020/02/21 11:00:08:451',1,265,114,24,2,3,2,1,?,?,?,?,?,?,?,?,?,?
34,'2020/02/21 11:00:08:577',1,194,77,24,2,3,2,1,?,?,?,?,?,?,?,?,?,?
35,'2020/02/21 11:00:08:704',1,136,58,24,2,3,2,2,?,?,?,?,?,?,?,?,?,?
36,'2020/02/21 11:00:08:831',1,150,64,24,2,3,2,1,?,?,?,?,?,?,?,?,?,?
37,'2020/02/21 11:00:08:957',1,174,65,25,3,3,2,2,?,?,?,?,?,?,?,?,?,?
38,'2020/02/21 11:00:09:083',1,190,64,26,2,3,1,1,?,?,?,?,?,?,?,?,?,?
39,'2020/02/21 11:00:09:209',1,209,68,27,3,3,1,2,?,?,?,?,?,?,?,?,?,?
40,'2020/02/21 11:00:09:334',1,173,64,28,3,3,1,1,?,?,?,?,?,?,?,?,?,?
41,'2020/02/21 11:00:09:461',1,120,52,28,2,2,1,2,?,?,?,?,?,?,?,?,?,?
42,'2020/02/21 11:00:09:587',1,95,51,29,3,3,2,2,?,?,?,?,?,?,?,?,?,?
43,'2020/02/21 11:00:09:713',1,84,61,32,2,3,1,1,?,?,?,?,?,?,?,?,?,?
44,'2020/02/21 11:00:09:840',1,105,75,37,2,3,2,1,?,?,?,?,?,?,?,?,?,?
