@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
343,'2020/12/18 20:30:12:897',11,174,135,34,2,2,2,1,?,?,?,?,?,0,?
344,'2020/12/18 20:30:13:099',11,129,190,32,2,2,2,2,?,?,?,?,?,0,?
345,'2020/12/18 20:30:13:300',11,131,179,33,2,1,2,2,?,?,?,?,?,0,?
346,'2020/12/18 20:30:13:500',11,199,137,33,2,2,2,2,?,?,?,?,?,0,?
347,'2020/12/18 20:30:13:701',11,191,75,33,2,2,2,2,?,?,?,?,?,0,?
348,'2020/12/18 20:30:13:901',11,142,52,33,2,2,2,2,?,?,?,?,?,0,?
349,'2020/12/18 20:30:14:101',11,192,56,33,2,2,2,1,?,?,?,?,?,0,?
350,'2020/12/18 20:30:14:303',11,220,69,34,2,2,2,2,?,?,?,?,?,0,?
351,'2020/12/18 20:30:14:505',11,165,63,34,2,2,2,2,?,?,?,?,?,0,?
352,'2020/12/18 20:30:14:707',11,161,57,34,2,2,2,2,?,?,?,?,?,0,?
353,'2020/12/18 20:30:14:907',11,222,43,34,2,2,2,2,?,?,?,?,?,0,?
354,'2020/12/18 20:30:15:108',11,221,83,34,2,2,1,2,?,?,?,?,?,0,?
355,'2020/12/18 20:30:15:309',11,188,127,33,2,2,2,2,?,?,?,?,?,0,?
356,'2020/12/18 20:30:15:510',11,177,144,34,2,2,2,2,?,?,?,?,?,0,?
357,'2020/12/18 20:30:15:712',11,234,107,34,2,2,2,2,?,?,?,?,?,0,?
358,'2020/12/18 20:30:15:913',11,236,61,33,2,2,2,2,?,?,?,?,?,0,?
359,'2020/12/18 20:30:16:114',11,173,38,33,2,2,2,2,?,?,?,?,?,0,?
360,'2020/12/18 20:30:16:316',11,74,39,33,2,2,2,2,?,?,?,?,?,0,?
361,'2020/12/18 20:30:16:516',11,165,50,33,2,2,2,2,?,?,?,?,?,0,?
362,'2020/12/18 20:30:16:717',11,202,59,33,2,2,2,2,?,?,?,?,?,0,?
363,'2020/12/18 20:30:16:918',11,184,70,33,2,2,2,2,?,?,?,?,?,0,?
364,'2020/12/18 20:30:17:118',11,103,59,33,2,2,2,2,?,?,?,?,?,0,?
365,'2020/12/18 20:30:17:320',11,145,53,33,2,2,2,2,?,?,?,?,?,0,?
366,'2020/12/18 20:30:17:521',11,188,60,33,2,2,2,2,?,?,?,?,?,0,?
367,'2020/12/18 20:30:17:723',11,174,90,33,2,2,2,2,?,?,?,?,?,0,?
368,'2020/12/18 20:30:17:923',11,108,122,33,2,2,2,2,?,?,?,?,?,0,?
369,'2020/12/18 20:30:18:124',11,144,127,33,2,2,2,2,?,?,?,?,?,0,?
370,'2020/12/18 20:30:18:326',11,180,98,33,2,2,2,2,?,?,?,?,?,0,?
371,'2020/12/18 20:30:18:527',11,147,63,33,2,2,2,2,?,?,?,?,?,0,?
372,'2020/12/18 20:30:18:728',11,107,45,33,2,2,1,2,?,?,?,?,?,0,?
373,'2020/12/18 20:30:18:930',11,135,41,33,2,2,2,2,?,?,?,?,?,0,?
374,'2020/12/18 20:30:19:131',11,175,63,33,2,2,2,2,?,?,?,?,?,0,?
375,'2020/12/18 20:30:19:332',11,132,89,33,2,2,2,2,?,?,?,?,?,0,?
376,'2020/12/18 20:30:19:533',11,148,90,34,2,2,1,2,?,?,?,?,?,0,?
377,'2020/12/18 20:30:19:735',11,204,72,34,2,2,2,1,?,?,?,?,?,0,?
378,'2020/12/18 20:30:19:936',11,225,58,33,2,2,2,2,?,?,?,?,?,0,?
379,'2020/12/18 20:30:20:136',11,173,69,33,2,2,2,2,?,?,?,?,?,0,?
380,'2020/12/18 20:30:20:337',11,122,98,34,2,2,2,2,?,?,?,?,?,0,?
381,'2020/12/18 20:30:20:539',11,210,128,34,2,2,2,2,?,?,?,?,?,0,?
382,'2020/12/18 20:30:20:740',11,209,130,35,2,2,1,2,?,?,?,?,?,0,?
383,'2020/12/18 20:30:20:942',11,173,114,33,2,2,1,2,?,?,?,?,?,0,?
384,'2020/12/18 20:30:21:142',11,144,82,33,2,1,2,2,?,?,?,?,?,0,?
385,'2020/12/18 20:30:21:343',11,213,57,33,2,2,2,2,?,?,?,?,?,0,?
386,'2020/12/18 20:30:21:544',11,213,46,34,2,2,2,2,?,?,?,?,?,0,?
387,'2020/12/18 20:30:21:744',11,181,54,34,2,2,2,2,?,?,?,?,?,0,?
388,'2020/12/18 20:30:21:945',11,147,87,34,2,2,2,2,?,?,?,?,?,0,?
389,'2020/12/18 20:30:22:146',11,199,129,33,2,2,2,2,?,?,?,?,?,0,?
390,'2020/12/18 20:30:22:346',11,205,156,33,2,2,2,2,?,?,?,?,?,0,?
391,'2020/12/18 20:30:22:548',11,171,175,33,2,2,2,2,?,?,?,?,?,0,?
392,'2020/12/18 20:30:22:749',11,152,166,33,2,2,2,1,?,?,?,?,?,0,?
393,'2020/12/18 20:30:22:950',11,187,146,33,2,1,2,1,?,?,?,?,?,0,?
394,'2020/12/18 20:30:23:151',11,185,114,33,2,1,2,2,?,?,?,?,?,0,?
395,'2020/12/18 20:30:23:353',11,138,93,33,2,2,2,2,?,?,?,?,?,0,?
