@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric

@data
8671,'2020/02/19 11:42:09:341',14,351,508,110,4,2,1,2,10,?,?,?,?,?
8672,'2020/02/19 11:42:09:345',14,351,482,110,4,2,1,2,10,?,?,?,?,?
8673,'2020/02/19 11:42:09:345',14,351,482,110,4,2,1,2,10,?,?,?,?,?
8674,'2020/02/19 11:42:09:345',14,351,482,110,3,2,1,2,10,?,?,?,?,?
8675,'2020/02/19 11:42:09:345',14,351,482,110,3,2,1,2,10,?,?,?,?,?
8676,'2020/02/19 11:42:09:345',14,351,482,110,3,2,1,2,10,?,?,?,?,?
8677,'2020/02/19 11:42:09:346',14,351,482,110,3,2,1,2,10,?,?,?,?,?
8678,'2020/02/19 11:42:09:384',14,352,482,110,3,2,1,2,10,?,?,?,?,?
8679,'2020/02/19 11:42:09:384',14,352,451,110,3,2,1,2,10,?,?,?,?,?
8680,'2020/02/19 11:42:09:384',14,352,451,110,3,2,1,2,10,?,?,?,?,?
8681,'2020/02/19 11:42:09:385',14,352,451,110,4,2,1,2,10,?,?,?,?,?
8682,'2020/02/19 11:42:09:385',14,352,451,110,4,2,1,2,10,?,?,?,?,?
8683,'2020/02/19 11:42:09:385',14,352,451,110,4,2,1,2,10,?,?,?,?,?
8684,'2020/02/19 11:42:09:385',14,352,451,110,4,2,1,1,10,?,?,?,?,?
8685,'2020/02/19 11:42:09:488',14,353,451,110,4,2,1,1,10,?,?,?,?,?
8686,'2020/02/19 11:42:09:488',14,353,418,110,4,2,1,1,10,?,?,?,?,?
8687,'2020/02/19 11:42:09:489',14,353,418,108,4,2,1,1,10,?,?,?,?,?
8688,'2020/02/19 11:42:09:489',14,353,418,108,3,2,1,1,10,?,?,?,?,?
8689,'2020/02/19 11:42:09:489',14,353,418,108,3,2,1,1,10,?,?,?,?,?
8690,'2020/02/19 11:42:09:489',14,353,418,108,3,2,1,1,10,?,?,?,?,?
8691,'2020/02/19 11:42:09:489',14,353,418,108,3,2,1,1,10,?,?,?,?,?
8692,'2020/02/19 11:42:09:491',14,351,418,108,3,2,1,1,10,?,?,?,?,?
8693,'2020/02/19 11:42:09:491',14,351,384,108,3,2,1,1,10,?,?,?,?,?
8694,'2020/02/19 11:42:09:491',14,351,384,106,3,2,1,1,10,?,?,?,?,?
8695,'2020/02/19 11:42:09:491',14,351,384,106,3,2,1,1,10,?,?,?,?,?
8696,'2020/02/19 11:42:09:492',14,351,384,106,3,2,1,1,10,?,?,?,?,?
8697,'2020/02/19 11:42:09:492',14,351,384,106,3,2,1,1,10,?,?,?,?,?
8698,'2020/02/19 11:42:09:492',14,351,384,106,3,2,1,1,10,?,?,?,?,?
8699,'2020/02/19 11:42:09:553',14,347,384,106,3,2,1,1,10,?,?,?,?,?
8700,'2020/02/19 11:42:09:553',14,347,351,106,3,2,1,1,10,?,?,?,?,?
